accuracy,precision,recall,f1_score,fpr,fnr,balanced_accuracy,tp,fp,tn,fn,confusion_matrix,roc_auc,pr_auc,model_name
0.9747471187396468,0.05518617021276596,0.8736842105263158,0.10381488430268919,0.02508340541208452,0.12631578947368421,0.9243004025571157,83,1421,55230,12,"[[55230  1421]
 [   12    83]]",0.9647717464921417,0.6926525388265959,Logistic Regression (No Balance)
0.9994537059880872,0.9705882352941176,0.6947368421052632,0.8098159509202455,3.530387813101269e-05,0.30526315789473685,0.8473507691135661,66,2,56649,29,"[[56649     2]
 [   29    66]]",0.9402615645749739,0.8102582492736099,Random Forest (No Balance)
0.9980086702146407,0.2857142857142857,0.12631578947368421,0.17518248175182483,0.0005295581719651904,0.8736842105263158,0.5628931156508595,12,30,56621,83,"[[56621    30]
 [   83    12]]",0.9398449788130279,0.18546418074717658,SVM (No Balance)
0.9725619426919959,0.05098280098280098,0.8736842105263158,0.0963435867672664,0.027272245856207303,0.12631578947368421,0.9232059823350542,83,1545,55106,12,"[[55106  1545]
 [   12    83]]",0.9568257725742751,0.6948843340985595,Logistic Regression (SMOTE)
0.9994360836006062,0.8795180722891566,0.7684210526315789,0.8202247191011235,0.00017651939065506346,0.23157894736842105,0.8841222666204619,73,10,56641,22,"[[56641    10]
 [   22    73]]",0.9658055926917255,0.8037176791889623,Random Forest (SMOTE)
0.9896380361611391,0.1248097412480974,0.8631578947368421,0.2180851063829787,0.01014986496266615,0.1368421052631579,0.926504014887088,82,575,56076,13,"[[56076   575]
 [   13    82]]",0.9722636010513123,0.5920320379814857,SVM (SMOTE)
0.9578472491453142,0.033698741372310194,0.8736842105263158,0.06489444878811572,0.0420116149759051,0.12631578947368421,0.9158362977752054,83,2380,54271,12,"[[54271  2380]
 [   12    83]]",0.9686196833985371,0.4519334400698249,Logistic Regression (Undersample)
0.9758925739259154,0.057678943710910355,0.8736842105263158,0.10821382007822686,0.023936029372826604,0.12631578947368421,0.9248740905767446,83,1356,55295,12,"[[55295  1356]
 [   12    83]]",0.9748101255238678,0.6956672020524799,Random Forest (Undersample)
0.9884573361999084,0.08083832335329341,0.5684210526315789,0.14154652686762778,0.010838290586220897,0.43157894736842106,0.778791381022679,54,614,56037,41,"[[56037   614]
 [   41    54]]",0.9460993395387641,0.10145924217239233,Isolation Forest (cont=0.01)
0.9587988580692912,0.03251354731137974,0.8210526315789474,0.06255012028869285,0.040970150571040226,0.17894736842105263,0.8900412405039535,78,2321,54330,17,"[[54330  2321]
 [   17    78]]",0.9352218430668293,0.2153536752955887,One-Class SVM (cont=0.01)
0.9878581750255525,0.019417475728155338,0.12631578947368421,0.033660589060308554,0.010697075073696846,0.8736842105263158,0.5578093571999937,12,606,56045,83,"[[56045   606]
 [   83    12]]",,,LOF (cont=0.01)
0.9788883797976949,0.05631536604987932,0.7368421052631579,0.10463378176382661,0.020705724523838943,0.2631578947368421,0.8580681903696594,70,1173,55478,25,"[[55478  1173]
 [   25    70]]",0.9460993395387641,0.10145924217239233,Isolation Forest (cont=0.02)
0.9604201177175484,0.033810143042912875,0.8210526315789474,0.0649458784346378,0.039346172177013645,0.17894736842105263,0.8908532297009668,78,2229,54422,17,"[[54422  2229]
 [   17    78]]",0.9391853537216326,0.22233847979941335,One-Class SVM (cont=0.02)
0.9780072604236422,0.01350210970464135,0.16842105263157894,0.024999999999999998,0.020635116767576917,0.8315789473684211,0.5738929679320011,16,1169,55482,79,"[[55482  1169]
 [   79    16]]",,,LOF (cont=0.02)
