accuracy,precision,recall,f1_score,fpr,fnr,balanced_accuracy,tp,fp,tn,fn,confusion_matrix,roc_auc,pr_auc,model_name
0.942,0.008695652173913044,0.3333333333333333,0.01694915254237288,0.057085628442663995,0.6666666666666666,0.6381238524453346,1,114,1883,2,"[[1883  114]
 [   2    1]]",0.6062426973794024,0.006461261665910478,Logistic Regression (No Balance)
0.9985,0.0,0.0,0.0,0.0,1.0,0.5,0,0,1997,3,"[[1997    0]
 [   3    0]]",0.6248539475880486,0.020607843137254903,Random Forest (No Balance)
0.9985,0.0,0.0,0.0,0.0,1.0,0.5,0,0,1997,3,"[[1997    0]
 [   3    0]]",0.7521281922884326,0.2414164164164164,SVM (No Balance)
0.943,0.008849557522123894,0.3333333333333333,0.017241379310344827,0.05608412618928393,0.6666666666666666,0.6386246035720247,1,112,1885,2,"[[1885  112]
 [   2    1]]",0.6097479552662327,0.006693715840552091,Logistic Regression (SMOTE)
0.9965,0.0,0.0,0.0,0.00200300450676014,1.0,0.4989984977466199,0,4,1993,3,"[[1993    4]
 [   3    0]]",0.7416958771490569,0.006955026455026455,Random Forest (SMOTE)
0.998,0.0,0.0,0.0,0.000500751126690035,1.0,0.499749624436655,0,1,1996,3,"[[1996    1]
 [   3    0]]",0.7219162076448005,0.003621978710080416,SVM (SMOTE)
0.7825,0.002304147465437788,0.3333333333333333,0.004576659038901602,0.21682523785678517,0.6666666666666666,0.558254047738274,1,433,1564,2,"[[1564  433]
 [   2    1]]",0.5181104990819563,0.0026734199810492278,Logistic Regression (Undersample)
0.72,0.0017889087656529517,0.3333333333333333,0.0035587188612099642,0.2794191286930396,0.6666666666666666,0.5269571023201469,1,558,1439,2,"[[1439  558]
 [   2    1]]",0.6195126022366882,0.0036824561275758676,Random Forest (Undersample)
0.9855,0.0,0.0,0.0,0.013019529293940912,1.0,0.49349023535302955,0,26,1971,3,"[[1971   26]
 [   3    0]]",0.6932064763812386,0.007904671335120024,Isolation Forest (cont=0.01)
0.971,0.03389830508474576,0.6666666666666666,0.06451612903225806,0.028542814221331998,0.3333333333333333,0.8190619262226673,2,57,1940,1,"[[1940   57]
 [   1    2]]",0.7609747955266233,0.44514325646401115,One-Class SVM (cont=0.01)
0.9915,0.1111111111111111,0.6666666666666666,0.1904761904761905,0.00801201802704056,0.3333333333333333,0.829327324319813,2,16,1981,1,"[[1981   16]
 [   1    2]]",,,LOF (cont=0.01)
0.979,0.0,0.0,0.0,0.019529293940911366,1.0,0.4902353530295443,0,39,1958,3,"[[1958   39]
 [   3    0]]",0.6932064763812386,0.007904671335120024,Isolation Forest (cont=0.02)
0.969,0.031746031746031744,0.6666666666666666,0.06060606060606061,0.030545818728092138,0.3333333333333333,0.8180604239692872,2,61,1936,1,"[[1936   61]
 [   1    2]]",0.7603071273577031,0.42926877864116353,One-Class SVM (cont=0.02)
0.9805,0.05,0.6666666666666666,0.09302325581395349,0.01902854281422133,0.3333333333333333,0.8238190619262227,2,38,1959,1,"[[1959   38]
 [   1    2]]",,,LOF (cont=0.02)
